WKT,Dependencia,Organismo,Nombre,Dirección,Partido,Teléfono
"POINT (-58.042261 -34.999648)",Unidad penitenciaria,Ministerio de Justicia,Lisandro Olmos,Av. 197 entre 50 y 52  (CP 1901) - Lisandro Olmos,La Plata,(0221) 4962810
"POINT (-60.226295 -36.839544)",Unidad penitenciaria,Ministerio de Justicia,Sierra Chica,Calle P. Legorburu y Av. Centenario (CP 7401) – Olavarría,Olavarría,(02284) 445748/4340
"POINT (-60.198368 -33.352922)",Unidad penitenciaria,Ministerio de Justicia,San Nicolás,Avda. Gral. Savio N° 1072 (CP 2900) - San Nicolás,San Nicolás,(03336) 4423104
"POINT (-62.276606 -38.687026)",Unidad penitenciaria,Ministerio de Justicia,Bahia Blanca,La Falda Nº 2381 (CP 8000) - Bahía Blanca,Bahía Blanca,(0291) 4884172
"POINT (-59.428054 -34.640029)",Unidad penitenciaria,Ministerio de Justicia,Mercedes,Calle 27 Nº 1174 e/48 y 50 (CP 6600) - Mercedes,Mercedes,(02324) 421460/3357
"POINT (-57.673073 -36.311295)",Unidad penitenciaria,Ministerio de Justicia,Dolores,Calle Riobamba N° 251 - (7100) Dolores,Dolores,(02245)  442351
"POINT (-59.856899 -36.756583)",Unidad penitenciaria,Ministerio de Justicia,Azul,Calle Justa Belen Gallardo 151-199 (7300) - Azul,Azul,(02281) 423655
"POINT (-57.973297 -34.968608)",Unidad penitenciaria,Ministerio de Justicia,Los Hornos,Calle 70 Nº 2649-99 (CP 1900) - Los Hornos,La Plata,(0221) 4508000
"POINT (-57.926839 -34.936655)",Unidad penitenciaria,Ministerio de Justicia,La Plata,Calle 76 e/9 y 11 (CP 1900) - La Plata,La Plata,(0221) 4517370/7380/7260/7320
"POINT (-58.055219 -34.959564)",Unidad penitenciaria,Ministerio de Justicia,Neurospiquiatrico Melchor Romero,Calle 179 Nº 1198-1004 (CP 1903) - Melchor Romero,La Plata,(0221) 4780049/2015
"POINT (-59.533455 -33.787884)",Unidad penitenciaria,Ministerio de Justicia,Baradero,Cuartel II (CP 2942) – Baradero,Baradero,(03329) 482907/0126
"POINT (-58.038092 -34.911123)",Unidad penitenciaria,Ministerio de Justicia,Gorina,Calle 501 Nº 5120-4636 (CP 1897) - Gorina,La Plata,(0221) 478-0119
"POINT (-60.986118 -34.580449)",Unidad penitenciaria,Ministerio de Justicia,Junin,Ruta 188 Km. 162 (6000) –Junín,Junín,(0236) 444-4238 / FAX (0236) 444-3352
"POINT (-60.217379 -36.013824)",Unidad penitenciaria,Ministerio de Justicia,General Alvear,Cuartel 5° (7263) - General Alvear,General Alvear,(02344) 48-0135
"POINT (-57.675472 -38.004666)",Unidad penitenciaria,Ministerio de Justicia,Mar del Plata,"Camino San Francisco de Asis SNº, Batán (7601) - Mar del Plata.",General Pueyrredón,(0223) 464-2364/2331
"POINT (-60.987738 -34.581224)",Unidad penitenciaria,Ministerio de Justicia,Junin,Ruta 188 Km. 162 (6000) –Junín,Junín,(0236) 444-4233
