WKT,Dependencia,Organismo,Nombre,Dirección,Partido,Teléfono,Representa
"POINT (-57.83750965 -38.27237908)",Comisaría,Ministerio de Seguridad,EST.POL.COM.MIRAMAR,MITRE N° 1137,General Alvarado,2291420613/02291421548,SUBCOMISARIO CABALLERO ANDRES HUGO
"POINT (-57.885628 -34.865795)",Comisaría,Ministerio de Seguridad,CRIA.BERISSO 1RA,168 E/ 8 Y CORRALON MUNICIPAL,Berisso,0221-4640005/06,COMISARIO INSPECTOR ARISTIMUÑO VICTOR JOSE
"POINT (-57.95373 -34.940075)",Comisaría,Ministerio de Seguridad,CRIA.LA PLATA 5TA,DIAG. 74 E/ 24 Y 23,La Plata,0221-4577122/21,COMISARIO CORDOBA CARLOS ALBERTO
"POINT (-57.971453 -34.950697)",Comisaría,Ministerio de Seguridad,CRIA.LA PLATA 3RA,137 E/ 61 Y 62,La Plata,0221-4507890/ 4560934,
"POINT (-58.010395 -34.882484)",Comisaría,Ministerio de Seguridad,CRIA.LA PLATA 13RA,502 E/ 14 Y 15,La Plata,0221-4713500/5434/4847147,SUBCOMISARIO GORBARAN JUAN MANUEL
"POINT (-58.054677 -34.95027)",Comisaría,Ministerio de Seguridad,CRIA.LA PLATA 14TA,173 E/ 517 BIS Y 517,La Plata,0221-478-1684/ 1154,SUBCOMISARIO LLONTOP FENCO HEBERT JHONY
"POINT (-58.08774 -34.857187)",Comisaría,Ministerio de Seguridad,CRIA.LA PLATA 12DA,12 E/ 48 Y 49,La Plata,0221-4731328/1599/0075,
"POINT (-58.188844 -34.868592)",Comisaría,Ministerio de Seguridad,CRIA.FLORENCIO VARELA 6TA,AV LA CALORINA E/ HUANACACHE Y MENDOZA,Florencio Varela,02229491999/496310,COMISARIO SKRAMOWSKYJ EDUARDO OSCAR
"POINT (-58.308156 -34.778595)",Comisaría,Ministerio de Seguridad,CRIA.QUILMES 4TA,845 NRO. 2235,Quilmes,011-42120105/0333/2273,COMISARIO INSPECTOR ABALOS GABRIEL ALEJANDRO
"POINT (-58.359342 -34.771786)",Comisaría,Ministerio de Seguridad,CRIA.ALMIRANTE BROWN 3RA,30 DE SEPTIEMBRE NRO. 4254,Almirante Brown,1142912221,SUBCOMISARIO CACIOLI CESAR OMAR
"POINT (-58.381969 -34.79827)",Comisaría,Ministerio de Seguridad,CRIA.ALMIRANTE BROWN 1RA,"DIAG. TOLL, JUAN E/ BOUCHARD Y DRUMOND",Almirante Brown,1142943333,COMISARIO ZUCCOTTI MARTIN OSCAR
"POINT (-58.422851 -34.735117)",Comisaría,Ministerio de Seguridad,CRIA.LOMAS DE ZAMORA 7MA,"BILBAO LA VIEJA E/ PERITO MORENO Y ACERBONI, ANA",Lomas de Zamora,01142428600/42423840,SUBCOMISARIO GODOY LUIS ALBERTO
"POINT (-58.491802 -34.509002)",Comisaría,Ministerio de Seguridad,CRIA.VICENTE LOPEZ 1RA,"AV. MAIPU E/ PELLIZA, M. Y SAENZ PENA, R.",Vicente López,1145139797/1145139815/1145139816,SUBCOMISARIO MENDEZ JUAN MANUEL
"POINT (-58.521509 -34.664429)",Comisaría,Ministerio de Seguridad,CRIA.LA MATANZA NORESTE 2DA,QUINTANA E/ TAPALQUE Y OLAGUER,La Matanza,4652-3344/3443,COMISARIO URUS ROBERTO SILVIO
"POINT (-58.523142 -34.528346)",Comisaría,Ministerio de Seguridad,CRIA.VICENTE LOPEZ 3RA,"ARMENIA E/ RUBEN DARIO Y HERNANDEZ, JOSE",Vicente López,1145125553/1145125544,COMISARIO MILAN ALBERTO ALEJANDRO
"POINT (-58.53423 -34.479695)",Comisaría,Ministerio de Seguridad,CRIA.SAN ISIDRO 7MA,"PALMA, DIEGO E/ BILLINGHURTS Y BERGALLO",San Isidro,1145130045/44/46,
"POINT (-58.558066 -34.618782)",Comisaría,Ministerio de Seguridad,CRIA.TRES DE FEBRERO 4TA,L. DE LA TORRE E/ TRENQUE LAUQUEN Y FLEMING,Tres de Febrero,01145127977/79/95/96,COMISARIO OSSIMELLI EDGARDO CRISTIAN
"POINT (-58.579342 -34.423394)",Comisaría,Ministerio de Seguridad,CRIA.TIGRE 1RA,BOURDIEU NRO. 485,Tigre,1145805222/5442/5941,COMISARIO HERNANDEZ CEFERINO SAUL
"POINT (-58.602483 -34.679914)",Comisaría,Ministerio de Seguridad,CRIA.LA MATANZA NOROESTE 4TA,CARABOBO NRO. 22,La Matanza,4669-0920/0919,COMISARIO LIENDRO HECTOR DANIEL
"POINT (-58.62259039 -34.56580491)",Comisaría,Ministerio de Seguridad,CRIA.TRES DE FEBRERO 11RA,TOLEDO N° 2105,Tres de Febrero,01147398709/43,COMISARIO AGUILAR ROLANDO CARLOS
"POINT (-58.687929 -34.498511)",Comisaría,Ministerio de Seguridad,CRIA.MALVINAS ARGENTINAS 2DA,PERITO MORENO E/ DON BOSCO Y TRES ARROYOS,Malvinas Argentinas,01146603210/0053/011-46633836/44560198,COMISARIO LEMMA JAVIER ADRIAN
"POINT (-58.699565 -34.749305)",Comisaría,Ministerio de Seguridad,CRIA.MERLO 5TA,BOSTON Y SAN PABLO,Merlo,0220-4920222/4922870,COMISARIO AULETTA GUSTAVO FABIAN
"POINT (-58.709066 -38.556088)",Comisaría,Ministerio de Seguridad,CRIA.NECOCHEA 2DA,527 Nº 2448,Necochea,0226254008/452508,COMISARIO MAINERI OSCAR ALMIR
"POINT (-58.731644 -38.579929)",Comisaría,Ministerio de Seguridad,CRIA.NECOCHEA 3RA,8 Nº 4157,Necochea,02262425413/421725,COMISARIO URRESTARAZU TANGORRA MARTIN
"POINT (-58.736853 -34.491726)",Comisaría,Ministerio de Seguridad,CRIA.MALVINAS ARGENTINAS 1RA,SAN MARTIN 534,Malvinas Argentinas,02320480171/1769/5600,COMISARIO ALVAREZ CLAUDIO NORBERTO
"POINT (-58.740871 -38.555639)",Comisaría,Ministerio de Seguridad,CRIA.NECOCHEA 1RA,58 N  3068,Necochea,02262425473/422039,SUBCOMISARIO JUAN CARLOS ALBERTO
"POINT (-58.787934 -34.648264)",Comisaría,Ministerio de Seguridad,CRIA.MORENO 1RA,BELGRANO NRO. 336,Moreno,023746203338/4665462,COMISARIO TORRES LINDOLFO GUSTAVO
"POINT (-58.790159 -34.72156)",Comisaría,Ministerio de Seguridad,CRIA.MERLO 6TA,"BALBIN, RICARDO (R.200 KM 40) E/ VARELA Y TAGLE",Merlo,0220-4996777/4894061,COMISARIO GUIDO ALEJANDRO HERNAN
"POINT (-58.82832777 -34.38254815)",Comisaría,Ministerio de Seguridad,SUBCRIA.MATHEU,CANESI 245,Escobar,3484461311/03488-460827,OFICIAL PRINCIPAL GELVES RAUL MAXIMILIANO
"POINT (-58.91290645 -34.45572112)",Comisaría,Ministerio de Seguridad,CRIA.PILAR 1RA,TUCUMAN 575,Pilar,2304430130/30041,COMISARIO BARICALLA SERGIO MARCELO
"POINT (-58.923219 -34.622399)",Comisaría,Ministerio de Seguridad,CRIA.GRAL.RODRIGUEZ 2DA,CABRAL Y ALMAFUERTE,General Rodríguez,02374841521/3301/3302,COMISARIO LASERNA WALTER CRISTIAN
"POINT (-59.10340884 -34.29014122)",Comisaría,Ministerio de Seguridad,EST.POL.COM.CAPILLA DEL SEÑOR,FAHY 475,Exaltación de la Cruz,02323491333/491929,SUBCOMISARIO OJUEZ FERNANDO OSCAR
"POINT (-60.015311 -36.022679)",Comisaría,Ministerio de Seguridad,EST.POL.COM.GRAL.ALVEAR,SAN MARTIN 935,General Alvear,2344481500/2344481501,COMISARIO IGUERATEGUI CARLOS RAFAEL
"POINT (-60.09389888 -33.77137936)",Comisaría,Ministerio de Seguridad,SUBCRIA.PEREZ MILLAN,MANFREDI E/ FUNDADORES Y MORENO,Ramallo,3329492032,SUBCOMISARIO ALMEIDA MAXIMILIANO HUGO
"POINT (-60.2773615 -38.37653974)",Comisaría,Ministerio de Seguridad,EST.POL.COM.TRES ARROYOS 1RA,PRINGLES 66,Tres Arroyos,2983423333,
"POINT (-60.31334006 -36.91582113)",Comisaría,Ministerio de Seguridad,SUBCRIA.LOMA NEGRA,FORTABAT N° 1593,Olavarría,2284495330,
